"","TmaxMedian","TmaxP90","TmaxP95","TmaxAppMedian","TmaxAppP90","TmaxAppP95","TmaxApp_V_Median","TmaxApp_V_P90","TmaxApp_V_P95","TminMedian","TminP90","TminP95","TmedMedian","TmedP90","TmedP95"
"1",6,11,12.1,6,10.9,12.1,2.5,8.1,8.9,-0.5,3.6,4.6,2.6,6.1,6.9
"2",9,15,16.2,8.8,15.17,16.9,5.35,12.1,13.5,0.45,5,5.78499999999999,4.6,8.5,9.7
"3",15,20,21,15.2,20.89,22.245,11.8,18,19.6,4.25,8.7,9.4,9.35,13.3,14.4
"4",18.35,23,24.605,19.3,24.5,26.3,16,21.42,23.1,8,11.5,12,13.1,16.7,17.6
"5",24,28.3,29.6,25.9,31.4,32.9,22.95,28.69,30.4,12.7,16.4,17,18.2,22.1,23.4
"6",28,33,34,31.55,37.61,39.2,28.7,34.9,36.5,16.8,20,21,22.4,26.4,27.3
"7",31,35,36,35.55,40.5,41.845,32.8,38.2,39.9,19,22,22.9,25.2,28.39,29.3
"8",31,34.8,36,35.5,41.1,42.26,32.9,38.7,40.2,19,22,22.7,24.8,28.3,29.1
"9",26,30,31.105,29.3,34.8,36.4,26.6,32.7,34.21,15,18.7,19.305,20.2,23.7,24.71
"10",19.1,24.52,26,21.3,27.82,29.5,18.7,25.4,27.4,11,15,16,14.7,19.1,20
"11",12,17,18.405,12.3,18.21,20,9.4,15.5,16.81,5,10,11,8.1,12.7,13.905
"12",7,11.1,12.66,7.1,11.4,13.06,3.7,8.8,10.165,0.6,5,6.61999999999998,3.6,7.4,8.6
