USAF,WBAN,STATION.NAME,CTRY,STATE ICAO,ELEV.M.,name
160200,99999,BOLZANO,IT,LIPB,240.5,bolzano
160590,99999,TORINO CASELLE,IT,LIMF,301.4,torino
160800,99999,LINATE,IT,LIML,107.6,milano
160900,99999,VILLAFRANCA,IT,LIPX,72.8,verona
160990,99999,TREVISO,IT,LIPH,18,treviso
161050,99999,VENEZIA TESSERA,IT,LIPZ,2.1,venezia
161100,99999,TRIESTE,IT,LIVT,20,trieste
161200,99999,GENOVA SESTRI,IT,LIMJ,4,genova
161400,99999,BOLOGNA,IT,LIPE,37.5,bologna
161490,99999,RIMINI,IT,LIPR,12.5,rimini
161580,99999,PISA,IT,LIRP,1.8,pisa
161700,99999,FIRENZE,IT,LIRQ,43.9,firenze
161810,99999,PERUGIA,IT,LIRZ,211.2,perugia
161910,99999,FALCONARA,IT,LIPY,14.9,falconara
162060,99999,GROSSETO,IT,LIRS,4.6,grosseto
162300,99999,PESCARA,IT,LIBP,14.6,pescara
162390,99999,CIAMPINO,IT,LIRA,130.1,roma
162450,99999,PRATICA DI MARE,IT,LIRE,12.5,roma_pratica
162520,99999,CAMPOBASSO,IT,LIBS,807,campobasso
162700,99999,BARI,IT,LIBD,53.9,bari
162890,99999,NAPOLI/CAPODICHINO,IT,LIRN,72,napoli
163250,99999,MARINA DI GINOSA,IT,LIBH,12,marina_ginosa
163320,99999,LECCE,IT,LIBN,47.5,lecce
163500,99999,CROTONE,IT,LIBC,158.8,crotone
164050,99999,PALERMO,IT,LICJ,19.8,palermo
164200,99999,MESSINA,IT,LICF,51,messina
164220,99999,REGGIO CALABRIA,IT,LICR,29.3,reggio_calabria
164290,99999,TRAPANI BIRGI,IT,LICT,7.3,trapani
164600,99999,CATANIA FONTANAROSSA,IT,LICC,11.9,catania
164700,99999,PANTELLERIA,IT,LICG,193.5,pantelleria
165200,99999,ALGHERO,IT,LIEA,26.5,alghero
165600,99999,ELMAS,IT,LIEE,4,cagliari
